odometer_value,year_produced,engine_has_gas,engine_capacity,has_warranty,price_usd,is_exchangeable,number_of_photos,up_counter,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,manufacturer_name_BMW,manufacturer_name_Other,manufacturer_name_Skoda,model_name_Kodiaq,model_name_Other,model_name_X5,transmission_automatic,transmission_mechanical,color_Other,color_black,color_blue,engine_fuel_Other,engine_fuel_diesel,engine_fuel_gasoline,engine_type_Other,engine_type_diesel,engine_type_gasoline,body_type_Other,body_type_hatchback,body_type_suv,state_Other,state_new,state_owned,drivetrain_Other,drivetrain_all,drivetrain_front,location_region_Other,location_region_Минская обл.,location_region_Могилевская обл.,total_features,mileage_per_year,body_type
-0.3333333333333333,0.6363636363636364,0,1.0,0,10900.0,0,0.14285714285714285,0.6153846153846154,0,1,1,1,0,1,0,1,1,1,-0.6515151515151515,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,7,0.2460867812297432,0
0.2727272727272727,-0.09090909090909091,0,1.8338762214983713,0,5000.0,1,0.5714285714285714,3.769230769230769,0,1,0,0,1,1,0,0,0,1,0.36363636363636365,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,4,0.2874774477104103,0
0.9515151515151515,-0.18181818181818182,0,1.0,0,2800.0,1,-0.5714285714285714,5.153846153846154,0,1,0,0,0,0,0,0,1,1,1.393939393939394,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,3,1.0815172988357111,2
-1.4242424242424243,-0.36363636363636365,0,1.8338762214983713,0,10000.0,1,0.14285714285714285,2.8461538461538463,1,0,0,0,0,0,0,0,0,0,0.4090909090909091,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,-2.039601374275751,0
0.21212121212121213,-0.18181818181818182,0,1.0,0,2134.0,1,0.8571428571428571,0.15384615384615385,0,1,0,1,1,0,0,0,0,1,-0.7878787878787878,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,4,0.11198081229180543,0
-0.6821272727272727,0.7272727272727273,0,1.0,0,14700.0,1,1.7142857142857142,3.923076923076923,0,1,0,0,0,1,0,1,1,1,0.12121212121212122,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,5,-0.35889333860806466,0
0.44412121212121214,-0.45454545454545453,0,1.0,0,3000.0,1,0.0,10.923076923076923,0,1,0,0,1,1,0,0,1,1,3.757575757575758,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,5,0.14518794916623223,0
0.6363636363636364,0.09090909090909091,0,1.0,0,4500.0,0,-0.14285714285714285,1.8461538461538463,0,1,1,0,0,0,0,0,0,1,0.21212121212121213,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,3,1.0475618304766292,0
-0.4,0.6363636363636364,0,1.0,0,12900.0,0,1.2857142857142858,2.1538461538461537,0,1,1,1,1,1,1,1,1,1,0.42424242424242425,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,9,0.10949736842258435,0
0.21212121212121213,0.0,0,0.16612377850162866,0,6900.0,1,0.8571428571428571,0.07692307692307693,0,1,0,1,0,1,0,1,1,1,-0.7272727272727273,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,6,0.305473490885858,2
